athlete_id,sex,age,height_cm,weight_kg,upper_watts,grip_kg,plank_sec,agility_ms,decision_ms,attention,years_exp,basustu,direkdibi,piyano,trim1,trim2,anayelken,dumen
A134,M,38,173,52,334,53,99,864,448,74,2,0,0,0,0,0,0,0
A135,F,18,166,62,582,51,79,954,450,62,4,0,1,0,0,1,1,0
A136,M,20,171,57,507,48,148,835,316,83,3,1,0,1,0,0,1,0
A137,M,35,179,90,371,44,129,761,384,57,6,1,0,0,0,1,0,0
A138,F,27,169,80,370,31,97,770,447,70,8,0,0,0,1,1,0,0
A139,M,39,166,69,466,48,68,789,327,83,5,0,0,1,1,1,1,1
A140,F,20,177,87,666,46,154,794,337,53,4,1,1,0,0,1,1,0
A141,F,25,177,70,474,47,146,909,315,74,1,0,0,1,0,0,0,0
A142,M,31,169,59,349,34,116,807,289,64,2,1,0,0,0,0,0,0
A143,M,35,170,88,475,36,193,909,311,53,5,0,0,0,0,1,1,0
A144,M,32,177,76,472,53,77,787,276,94,5,0,0,1,1,1,1,1
A145,M,39,160,57,230,44,58,811,352,61,3,0,0,0,0,0,0,0
A146,M,19,160,67,494,50,92,500,303,81,1,0,0,1,0,0,0,0
A147,F,27,167,59,476,45,118,937,364,81,1,0,0,1,0,0,0,0
A148,M,19,172,53,569,45,129,851,256,77,4,1,1,1,1,1,1,0
A149,M,34,178,81,684,52,110,949,369,62,8,0,1,0,0,1,1,1
A150,M,25,189,92,612,40,134,500,400,80,3,1,0,0,0,0,1,0
